ID;LoaiDuLieu;MaDuLieu;DuLieu1;DuLieu2;UpdateDate;MaGiaoXuRieng
267;1;Gioan Brêbeuf;Gioan Brêbeuf;;2018/10/05 01:43:02;1234
268;1;Phaolô Thánh Giá;Phaolô Thánh Giá;;2018/10/05 01:43:02;1234
269;1;Gioan Phaolô II;Gioan Phaolô II;;2018/10/05 01:43:02;1234
270;1;Gioan Capistranô;Gioan Capistranô;;2018/10/05 01:43:02;1234
271;1;Phaolô Bường;Phaolô Bường;;2018/10/05 01:43:02;1234
272;1;Antôn Clarét;Antôn Clarét;;2018/10/05 01:43:02;1234
273;1;Giuse Thị;Giuse Thị;;2018/10/05 01:43:02;1234
274;1;Simon;Simon;;2018/10/05 01:43:02;1234
275;1;Giuđa;Giuđa;;2018/10/05 01:43:02;1234
276;1;Gioan Đạt;Gioan Đạt;;2018/10/05 01:43:02;1234
277;1;Giêrônimô Liêm;Giêrônimô Liêm;;2018/10/05 01:43:02;1234
278;1;Berrio Vinh;Berrio Vinh;;2018/10/05 01:43:02;1234
279;1;Phêrô Bình;Phêrô Bình;;2018/10/05 01:43:02;1234
280;1;Martinô;Martinô;;2018/10/05 01:43:02;1234
281;1;Phêrô Bắc;Phêrô Bắc;;2018/10/05 01:43:02;1234
282;1;Carôlô;Carôlô;;2018/10/05 01:43:02;1234
283;1;Đaminh Mầu;Đaminh Mầu;;2018/10/05 01:43:02;1234
284;1;Henricô Gia;Henricô Gia;;2018/10/05 01:43:02;1234
285;1;Vinhsơn Liêm;Vinhsơn Liêm;;2018/10/05 01:43:02;1234
286;1;Gioan Bt. Côn;Gioan Bt. Côn;;2018/10/05 01:43:02;1234
287;1;Giuse Nghi;Giuse Nghi;;2018/10/05 01:43:02;1234
288;1;Martinô Thịnh;Martinô Thịnh;;2018/10/05 01:43:02;1234
289;1;Martinô Thọ;Martinô Thọ;;2018/10/05 01:43:02;1234
290;1;Phaolô Ngân;Phaolô Ngân;;2018/10/05 01:43:02;1234
291;1;Lêô;Lêô;;2018/10/05 01:43:02;1234
292;1;Martinô;Martinô;;2018/10/05 01:43:02;1234
293;1;Josaphat;Josaphat;;2018/10/05 01:43:02;1234
294;1;Frances X. Cabrini;Frances X. Cabrini;;2018/10/05 01:43:02;1234
295;1;Stêphanô Thể;Stêphanô Thể;;2018/10/05 01:43:02;1234
296;1;Albertô;Albertô;;2018/10/05 01:43:02;1234
297;1;Margarita;Margarita;;2018/10/05 01:43:02;1234
298;1;Gertruđê;Gertruđê;;2018/10/05 01:43:02;1234
299;1;Elizabeth;Elizabeth;;2018/10/05 01:43:02;1234
300;1;Phanxicô Cần;Phanxicô Cần;;2018/10/05 01:43:02;1234
301;1;Maria;Maria;;2018/10/05 01:43:02;1234
302;1;Cêcilia;Cêcilia;;2018/10/05 01:43:02;1234
303;1;Clêmentê I;Clêmentê I;;2018/10/05 01:43:02;1234
304;1;Columbanô;Columbanô;;2018/10/05 01:43:02;1234
305;1;Miguel Pro;Miguel Pro;;2018/10/05 01:43:02;1234
306;1;Phêrô Cao;Phêrô Cao;;2018/10/05 01:43:02;1234
307;1;Phêrô Khoa;Phêrô Khoa;;2018/10/05 01:43:02;1234
308;1;Vinhsơn Điểm;Vinhsơn Điểm;;2018/10/05 01:43:02;1234
309;1;Catarina;Catarina;;2018/10/05 01:43:02;1234
310;1;Đaminh Xuyên;Đaminh Xuyên;;2018/10/05 01:43:02;1234
311;1;Tôma Dụ;Tôma Dụ;;2018/10/05 01:43:02;1234
312;1;Anrê Trông;Anrê Trông;;2018/10/05 01:43:02;1234
313;1;Anrê;Anrê;;2018/10/05 01:43:02;1234
314;1;Giuse Du;Giuse Du;;2018/10/05 01:43:02;1234
315;1;Phanxicô Xaviê;Phanxicô Xaviê;;2018/10/05 01:43:02;1234
316;1;Gioan Đamas;Gioan Đamas;;2018/10/05 01:43:02;1234
317;1;Nicôla;Nicôla;;2018/10/05 01:43:02;1234
318;1;Giuse Khang;Giuse Khang;;2018/10/05 01:43:02;1234
319;1;Ambrôsiô;Ambrôsiô;;2018/10/05 01:43:02;1234
320;1;Maria;Maria;;2018/10/05 01:43:02;1234
321;1;Gioan Điđacô;Gioan Điđacô;;2018/10/05 01:43:02;1234
322;1;Đamasô;Đamasô;;2018/10/05 01:43:02;1234
323;1;Maria;Maria;;2018/10/05 01:43:02;1234
324;1;Simon Hòa;Simon Hòa;;2018/10/05 01:43:02;1234
325;1;Luxia;Luxia;;2018/10/05 01:43:02;1234
326;1;Gioan Thánh Giá;Gioan Thánh Giá;;2018/10/05 01:43:02;1234
327;1;Phaolô Mỹ;Phaolô Mỹ;;2018/10/05 01:43:02;1234
328;1;Phêrô Đường;Phêrô Đường;;2018/10/05 01:43:02;1234
